Generation,Max_Fitness,Avg_Fitness,Successes,Crashes,Left_Faction,Right_Faction,Mutation_Rate
1,32.74,20.99,0,1000,491,509,0.02
2,44.48,24.32,0,1000,491,509,0.01
3,44.48,24.72,0,1000,513,487,0.01
4,44.48,24.91,0,1000,497,503,0.01
5,44.48,25.25,0,999,529,471,0.01
6,44.48,25.2,0,999,544,456,0.01
7,44.48,25.61,0,1000,546,454,0.01
8,44.48,25.09,0,1000,543,457,0.05
9,44.48,25.45,0,1000,557,443,0.05
10,93.13,25.37,0,1000,547,453,0.05
11,93.13,25.4,0,999,548,452,0.01
12,93.13,25.5,0,1000,544,456,0.01
13,93.13,25.41,0,999,543,457,0.01
14,93.13,25.57,0,1000,514,486,0.01
15,93.13,25.52,0,1000,516,484,0.01
16,93.13,25.54,0,1000,516,484,0.05
17,93.13,25.9,0,1000,486,514,0.05
18,93.13,25.72,0,1000,520,480,0.05
19,93.13,26.8,0,1000,497,503,0.01
20,316.24,28.25,0,1000,501,499,0.01
21,316.24,32.28,0,1000,549,451,0.01
