Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.78,20.96,0,0.0,800,389,411,0.02,274.745,29.75,5.9763,0.331479,,
2,32.78,23.54,0,0.0,800,430,370,0.01,274.745,32.67,5.9901,0.329565,,
3,32.78,24.03,0,0.0,800,386,414,0.01,274.745,32.66,5.9951,0.324531,,
4,43.69,24.43,0,0.0,800,383,417,0.01,206.309,33.21,5.9976,0.320316,,
5,43.69,24.77,0,0.0,800,367,433,0.01,206.309,33.9,5.9914,0.318492,,
6,43.69,25.08,0,0.0,800,359,441,0.01,206.309,33.75,6.0,0.317446,,
7,43.69,24.9,0,0.0,800,386,414,0.01,206.309,33.86,5.9958,0.315288,,
8,43.69,25.11,0,0.0,800,401,399,0.01,206.309,34.14,5.9919,0.317966,,
9,43.69,25.2,0,0.0,800,392,408,0.01,206.309,34.27,5.9886,0.316827,,
10,43.69,25.58,0,0.0,800,399,401,0.03,206.309,33.97,5.9933,0.314828,,
11,43.69,25.22,0,0.0,800,406,394,0.03,206.309,34.62,5.9977,0.315712,,
12,43.69,25.68,0,0.0,800,394,406,0.03,206.309,35.04,5.9945,0.31697,,
13,43.69,25.57,0,0.0,800,385,415,0.01,206.309,34.16,5.9982,0.315484,,
14,43.69,25.67,0,0.0,800,398,402,0.01,206.309,35.23,5.9904,0.315077,,
15,43.69,25.78,0,0.0,800,397,403,0.01,206.309,34.95,5.9963,0.315831,,
16,43.69,25.8,0,0.0,800,421,379,0.01,206.309,34.75,5.9933,0.314768,,
17,43.69,25.99,0,0.0,800,388,412,0.01,206.309,34.63,5.9891,0.315659,,
18,43.69,26.37,0,0.0,800,415,385,0.03,206.309,35.29,5.9958,0.317242,,
19,43.69,27.2,0,0.0,800,433,367,0.03,206.309,36.25,5.994,0.317408,,
20,43.69,28.55,0,0.0,800,447,353,0.03,206.309,38.2,5.9982,0.319783,,
21,43.69,29.6,0,0.0,800,535,265,0.01,206.309,39.08,5.9949,0.317169,,
22,43.69,30.83,0,0.0,800,556,244,0.01,206.309,41.25,5.9969,0.31281,,
23,43.69,31.0,0,0.0,800,584,216,0.01,206.309,40.82,5.998,0.313156,,
24,43.69,31.25,0,0.0,800,582,218,0.01,206.309,42.01,5.9999,0.313978,,
25,516.02,31.89,0,0.0,800,573,227,0.01,17.444,44.62,5.9965,0.312787,,
